Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long,TicketM.Bairro,Std.Bairro,TicketM.Comodos,Std.Comodos,TicketM.Tipo,Std.Tipo,ZScore.Bairro,ZScore.Comodos,ZScore.Tipo,Zscore,PredictOfModel,%PriceOfCityModel,PredictOfModelByRegion,%PriceOfRegioModel
1,Apartamento,Originals,Rua Francisco Nunes,58,2,2300,2652,Prado Velho,Curitiba,-25.4485067,-49.2555616,1832.2727272727273,342.4970338292264,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,2.3933850274919455,0.5374412973987076,0.2391475305611044,1.0566579518172525,3140.5487441797427,84.44384138010432,1152.106068767394,230.187139178713
1,Apartamento,Exclusivo,Rua João Zaniolo,55,2,1200,1544,Rebouças,Curitiba,-25.4560599,-49.2682721,1897.2,1383.5178832719632,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,-0.2552912429037032,-0.3331897106238092,-0.3801348857093103,-0.32287194641227424,1778.9310336873912,86.79369636941894,1153.6188616572404,133.8396979555236
1,Casa,Exclusivo,Rua Capitão João Ribas de Oliveira,240,3,5500,5724,Uberaba,Curitiba,0.0,0.0,2663.4545454545455,1702.0185876562198,3157.162162162162,2268.8736873082294,3763.2631578947367,4000.668209929417,1.7981856818379442,1.1313269011828995,0.49010233771419304,1.1398716402450122,5565.396023301151,102.84982373284501,1463.6162133046055,391.08612954458505
1,Apartamento,Exclusivo,Rua José Alcides de Lima,59,3,1000,1547,Capão Raso,Curitiba,-25.5086255,-49.3063123,2453.75,1234.681190776446,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,-0.7344001081200385,-0.7096746597967044,-0.3784581282645348,-0.6075109653937593,2189.519432905475,70.65477368004647,1554.8880509920102,99.492693317247
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1941,Prado Velho,Curitiba,-25.4485067,-49.2555616,1832.2727272727273,342.4970338292264,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,0.31745464044364724,0.1599035737413865,0.028666701965340838,0.16867497205012486,1685.9276097934035,115.12949836783642,763.947751144627,254.07496744270657
1,Apartamento,Nenhum,Rua Gastão Câmara,110,2,3200,4066,Bigorrilho,Curitiba,-25.4366586,-49.3021992,2990.8888888888887,1485.266680132262,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.723850555252053,1.6485173311025332,1.0294592061986192,1.1339423641844018,3191.750169310578,127.39092298311874,1125.8843253433881,361.1383432982686
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1941,Prado Velho,Curitiba,-25.4485067,-49.2555616,1832.2727272727273,342.4970338292264,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,0.31745464044364724,0.1599035737413865,0.028666701965340838,0.16867497205012486,1685.9276097934035,115.12949836783642,763.947751144627,254.07496744270657
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1942,Prado Velho,Curitiba,-25.4485067,-49.2555616,1832.2727272727273,342.4970338292264,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,0.3203743737587644,0.1604417344689613,0.029043895412253218,0.16995333454665965,1685.9276097934035,115.18881289558904,763.947751144627,254.20586644705625
1,Apartamento,Nenhum,Rua Ubaldino do Amaral,89,2,6890,7933,Alto da Glória,Curitiba,-25.4228563,-49.260646,3684.0,2928.8947858649117,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,1.4507178682232031,4.68708241054574,3.1907995525142274,3.1095332770943904,2736.931179074635,289.85018186252574,1136.4738755723135,698.0362831486156
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1941,Prado Velho,Curitiba,-25.4485067,-49.2555616,1832.2727272727273,342.4970338292264,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,0.31745464044364724,0.1599035737413865,0.028666701965340838,0.16867497205012486,1685.9276097934035,115.12949836783642,763.947751144627,254.07496744270657
1,Apartamento,Nenhum,Rua João Batista Dallarmi,110,2,3300,3802,Santa Felicidade,Curitiba,-25.420984,-49.3244425,3802.0,,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,,1.4410745638480709,0.881904551058376,,3191.750169310578,119.11959891338353,1125.8843253433881,337.6901085145148
1,Apartamento,Nenhum,Rua João Domachoski,47,2,2590,3265,Mossunguê,Curitiba,-25.4333314,-49.3252915,5651.166666666667,4335.060111078815,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,-0.5504345050645331,1.0191171168191073,0.5817649684435631,0.35014919339937906,1827.2931986027493,178.67959025385755,1157.6529760301644,282.03616002408353
1,Studio e kitnet,Exclusivo,Avenida Presidente Wenceslau Braz,21,1,900,1345,Portão,Curitiba,-25.4798816,-49.292378,3104.133333333333,2237.008680826974,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,-0.7863775176245715,-0.16084021989319597,-0.19614059239443732,-0.3811194433040683,1312.6947375666575,102.46098818779656,767.4776012209355,175.2494141666568
1,Apartamento,Exclusivo,Rua Arion Niepce da Silva,33,1,1570,1994,Portão,Curitiba,-25.4696778,-49.2918176,3104.133333333333,2237.008680826974,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.49625794609028556,0.18842609230285104,-0.12862126899298662,-0.14548437426014038,978.4977856956423,203.78175905450905,761.4264296615495,261.876909222382
1,Apartamento,Nenhum,Rua Emília Michalski Ubá,42,2,700,952,Cachoeira,Curitiba,-25.3553913,-49.2538411,939.3333333333334,72.83085426749666,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,0.17391896324796474,-0.7983644008307856,-0.7110150214783405,-0.4451534863537205,1719.0029628322866,55.380940032322755,1160.1742975132418,82.05663597621066
