C0,C1,C2,C3,C4,C5,C6,C7,C8
Anúncio novo,Apartamento,              Originals,Rua Francisco Nunes,"Prado Velho, Curitiba",            58 m²,            2 dorms,Aluguel: R$ 2.300,Total: R$ 2.652
Anúncio novo,Apartamento,              Exclusivo,Rua João Zaniolo,"Rebouças , Curitiba",            55 m²,            2 dorms,Aluguel: R$ 1.200,Total: R$ 1.544
Anúncio novo,Casa,              Exclusivo,Rua Capitão João Ribas de Oliveira,"Uberaba, Curitiba",            240 m²,            3 dorms,Aluguel: R$ 5.500,Total: R$ 5.724
Anúncio novo,Apartamento,              Exclusivo,Rua José Alcides de Lima,"Capão Raso, Curitiba",            59 m²,            3 dorms,Aluguel: R$ 1.000,Total: R$ 1.547
Anúncio novo,Studio e kitnet,vazio,Rua Francisco Nunes,"Prado Velho, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.700,Total: R$ 1.941
Anúncio novo,Apartamento,vazio,Rua Gastão Câmara,"Bigorrilho, Curitiba",            110 m²,            2 dorms,Aluguel: R$ 3.200,Total: R$ 4.066
Anúncio novo,Studio e kitnet,vazio,Rua Francisco Nunes,"Prado Velho, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.700,Total: R$ 1.941
Anúncio novo,Studio e kitnet,vazio,Rua Francisco Nunes,"Prado Velho, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.700,Total: R$ 1.942
Anúncio novo,Apartamento,vazio,Rua Ubaldino do Amaral,"Alto da Glória , Curitiba",            89 m²,            2 dorms,Aluguel: R$ 6.890,Total: R$ 7.933
Anúncio novo,Studio e kitnet,vazio,Rua Francisco Nunes,"Prado Velho, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.700,Total: R$ 1.941
Anúncio novo,Apartamento,vazio,Rua João Batista Dallarmi,"Santa Felicidade, Curitiba",            110 m²,            2 dorms,Aluguel: R$ 3.300,Total: R$ 3.802
Anúncio novo,Apartamento,vazio,Rua João Domachoski,"Mossunguê , Curitiba",            47 m²,            2 dorms,Aluguel: R$ 2.590,Total: R$ 3.265
Anúncio novo,Studio e kitnet,              Exclusivo,Avenida Presidente Wenceslau Braz,"Portão , Curitiba",            21 m²,            1 dorms,Aluguel: R$ 900,Total: R$ 1.345
Anúncio novo,Apartamento,              Exclusivo,Rua Arion Niepce da Silva,"Portão , Curitiba",            33 m²,            1 dorms,Aluguel: R$ 1.570,Total: R$ 1.994
Anúncio novo,Apartamento,vazio,Rua Emília Michalski Ubá,"Cachoeira, Curitiba",            42 m²,            2 dorms,Aluguel: R$ 700,Total: R$ 952
Anúncio novo,Apartamento,              Exclusivo,Rua Ângelo Tozim,"Campo de Santana, Curitiba",            53 m²,            2 dorms,Aluguel: R$ 900,Total: R$ 1.251
