Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long
1,Apartamento,Originals,Rua Francisco Nunes,58,2,2300,2652,Prado Velho,Curitiba,-25.4485067,-49.2555616
1,Apartamento,Exclusivo,Rua João Zaniolo,55,2,1200,1544,Rebouças,Curitiba,-25.4560599,-49.2682721
1,Casa,Exclusivo,Rua Capitão João Ribas de Oliveira,240,3,5500,5724,Uberaba,Curitiba,0.0,0.0
1,Apartamento,Exclusivo,Rua José Alcides de Lima,59,3,1000,1547,Capão Raso,Curitiba,-25.5086255,-49.3063123
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1941,Prado Velho,Curitiba,-25.4485067,-49.2555616
1,Apartamento,Nenhum,Rua Gastão Câmara,110,2,3200,4066,Bigorrilho,Curitiba,-25.4366586,-49.3021992
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1941,Prado Velho,Curitiba,-25.4485067,-49.2555616
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1942,Prado Velho,Curitiba,-25.4485067,-49.2555616
1,Apartamento,Nenhum,Rua Ubaldino do Amaral,89,2,6890,7933,Alto da Glória,Curitiba,-25.4228563,-49.260646
1,Studio e kitnet,Nenhum,Rua Francisco Nunes,28,1,1700,1941,Prado Velho,Curitiba,-25.4485067,-49.2555616
1,Apartamento,Nenhum,Rua João Batista Dallarmi,110,2,3300,3802,Santa Felicidade,Curitiba,-25.420984,-49.3244425
1,Apartamento,Nenhum,Rua João Domachoski,47,2,2590,3265,Mossunguê,Curitiba,-25.4333314,-49.3252915
1,Studio e kitnet,Exclusivo,Avenida Presidente Wenceslau Braz,21,1,900,1345,Portão,Curitiba,-25.4798816,-49.292378
1,Apartamento,Exclusivo,Rua Arion Niepce da Silva,33,1,1570,1994,Portão,Curitiba,-25.4696778,-49.2918176
1,Apartamento,Nenhum,Rua Emília Michalski Ubá,42,2,700,952,Cachoeira,Curitiba,-25.3553913,-49.2538411
